City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Lavrentiya,RU,2022-12-27 03:46:49,65.5833,-171.0,-0.58,92,6,12.26
173,Nuqui,CO,2022-12-27 03:46:49,5.7125,-77.2708,75.67,93,78,4.21
174,Thompson,CA,2022-12-27 03:46:49,55.7435,-97.8558,-11.04,70,75,3.44
175,Upernavik,GL,2022-12-27 03:46:50,72.7868,-56.1549,-9.51,80,93,8.84
176,Darnah,LY,2022-12-27 03:46:50,32.767,22.6367,59.9,82,0,12.68
177,Hambantota,LK,2022-12-27 03:46:51,6.1241,81.1185,79.75,76,5,5.7
178,Chuy,UY,2022-12-27 03:46:51,-33.6971,-53.4616,56.93,78,0,1.88
179,Port Elizabeth,ZA,2022-12-27 03:46:51,-33.918,25.5701,61.09,95,0,4.61
180,Husavik,IS,2022-12-27 03:46:52,66.0449,-17.3389,9.12,90,94,10.07
181,Bograd,RU,2022-12-27 03:46:52,54.2344,90.8328,11.25,96,100,3.29
182,Amahai,ID,2022-12-27 03:46:53,-3.3333,128.9167,82.67,70,100,1.05
183,Sirtich,RU,2022-12-27 03:46:53,41.8321,48.228,35.87,86,27,2.33
184,Grand Island,US,2022-12-27 03:46:54,40.925,-98.342,17.38,74,0,11.5
185,Lebu,CL,2022-12-27 03:46:54,-37.6167,-73.65,58.35,88,77,14.34
186,Ipixuna,BR,2022-12-27 03:46:54,-1.7625,-48.8043,73.38,97,98,3.13
187,Quatre Cocos,MU,2022-12-27 03:46:55,-20.2078,57.7625,78.91,74,38,15.73
188,Ismaning,DE,2022-12-27 03:46:55,48.2174,11.6629,41.99,85,75,10.36
189,Ballina,AU,2022-12-27 03:46:56,-28.8667,153.5667,80.02,68,33,9.89
190,Tazovskiy,RU,2022-12-27 03:45:52,67.4667,78.7,4.05,96,100,5.26
191,Hamilton,US,2022-12-27 03:46:56,39.1834,-84.5333,26.73,88,100,4.61
192,Skibbereen,IE,2022-12-27 03:46:57,51.55,-9.2667,49.1,91,99,22.26
193,Revelganj,IN,2022-12-27 03:46:57,25.7833,84.6667,62.51,32,0,10.8
194,Marsa Matruh,EG,2022-12-27 03:46:58,31.3525,27.2453,61.0,67,75,8.05
195,Sao Miguel Do Iguacu,BR,2022-12-27 03:46:58,-25.3481,-54.2378,72.48,64,7,0.29
196,Palmerston,AU,2022-12-27 03:45:35,-12.486,130.9833,90.93,71,75,12.66
197,Tasiilaq,GL,2022-12-27 03:46:59,65.6145,-37.6368,8.76,56,21,5.26
198,Bethel,US,2022-12-27 03:46:59,41.3712,-73.414,27.54,62,40,5.75
199,Lumby,CA,2022-12-27 03:45:35,50.2498,-118.969,35.04,93,100,1.14
200,Laguna,US,2022-12-27 03:47:00,38.421,-121.4238,56.01,94,100,10.36
201,Adrar,MR,2022-12-27 03:47:00,20.5022,-10.0711,58.84,26,0,12.1
202,Vardo,NO,2022-12-27 03:47:01,70.3705,31.1107,30.18,86,100,25.32
203,Victoria,HK,2022-12-27 03:43:55,22.2855,114.1577,67.96,64,32,8.01
204,La Macarena,CO,2022-12-27 03:47:01,2.1837,-73.7849,70.63,62,71,3.02
205,Yara,CU,2022-12-27 03:47:02,20.2753,-76.9533,70.39,87,23,4.52
206,Buala,SB,2022-12-27 03:47:02,-8.145,159.5921,83.52,75,100,5.99
207,Bengkulu,ID,2022-12-27 03:47:03,-3.8004,102.2655,83.35,62,95,4.5
208,Bastrop,US,2022-12-27 03:45:57,32.7562,-91.8724,35.28,80,0,0.0
209,Tres Picos,MX,2022-12-27 03:47:04,15.8667,-93.5333,71.01,69,27,8.5
210,Kudahuvadhoo,MV,2022-12-27 03:47:04,2.6708,72.8944,80.91,76,77,11.54
211,Lorengau,PG,2022-12-27 03:47:04,-2.0226,147.2712,84.69,68,15,8.1
212,Santa Cruz,BO,2022-12-27 03:44:19,-17.8,-63.1667,76.46,83,100,4.61
213,Pangnirtung,CA,2022-12-27 03:47:05,66.1451,-65.7125,5.11,70,100,6.44
214,Indian Head,US,2022-12-27 03:47:06,38.6001,-77.1622,32.18,68,100,0.0
215,Balkanabat,TM,2022-12-27 03:47:06,39.5108,54.3671,43.02,74,78,4.16
216,Bose,IT,2022-12-27 03:47:07,45.4612,8.0137,44.2,89,2,4.34
217,Lakatoro,VU,2022-12-27 03:47:07,-16.0999,167.4164,84.96,69,93,8.63
218,Carnarvon,AU,2022-12-27 03:47:08,-24.8667,113.6333,84.18,39,42,24.0
219,Bandarbeyla,SO,2022-12-27 03:47:08,9.4942,50.8122,76.08,66,43,11.23
220,Luebo,CD,2022-12-27 03:47:09,-5.35,21.4167,67.57,99,91,1.14
221,Indianola,US,2022-12-27 03:47:09,41.3581,-93.5574,3.45,82,8,1.99
222,Fairbanks,US,2022-12-27 03:47:10,64.8378,-147.7164,-0.44,68,100,6.91
223,Namibe,AO,2022-12-27 03:47:10,-15.1961,12.1522,71.91,82,75,3.96
224,Bindura,ZW,2022-12-27 03:47:11,-17.3019,31.3306,63.3,75,0,0.92
225,Bilibino,RU,2022-12-27 03:47:11,68.0546,166.4372,-24.07,99,98,1.52
226,Sibolga,ID,2022-12-27 03:47:12,1.7427,98.7792,84.7,67,100,3.89
227,Cooma,AU,2022-12-27 03:47:12,-36.2333,149.1333,90.48,16,1,9.44
228,Lazi,UA,2022-12-27 03:47:13,48.0667,24.2333,41.74,99,100,3.42
229,Rocha,UY,2022-12-27 03:47:13,-34.4833,-54.3333,51.53,90,0,3.6
230,Taltal,CL,2022-12-27 03:47:14,-25.4,-70.4833,65.7,79,0,3.31
231,Springbok,ZA,2022-12-27 03:47:14,-29.6643,17.8865,59.76,47,3,1.86
232,Udachnyy,RU,2022-12-27 03:47:15,66.4167,112.4,5.45,84,100,14.67
233,Anadyr,RU,2022-12-27 03:47:15,64.75,177.4833,9.1,72,0,20.13
234,Khani,GE,2022-12-27 03:47:15,41.9563,42.9566,35.17,96,100,0.25
235,Farafangana,MG,2022-12-27 03:47:16,-22.8167,47.8333,76.32,82,94,2.04
236,Poindimie,NC,2022-12-27 03:47:16,-20.9333,165.3333,74.37,94,100,5.19
237,Mayskiy,RU,2022-12-27 03:47:17,47.6931,40.1025,33.21,95,100,5.44
238,Tollose,DK,2022-12-27 03:47:17,55.6125,11.7703,37.51,86,52,11.99
239,Mao,ES,2022-12-27 03:47:18,39.8885,4.2658,55.96,94,20,10.36
240,Rio Gallegos,AR,2022-12-27 03:47:18,-51.6226,-69.2181,44.65,57,0,29.93
241,Salinopolis,BR,2022-12-27 03:47:19,-0.6136,-47.3561,78.78,85,100,10.27
242,Tautira,PF,2022-12-27 03:47:19,-17.7333,-149.15,80.2,76,9,10.87
243,Karasjok,NO,2022-12-27 03:47:20,69.4719,25.5112,25.23,90,100,12.88
244,Kavieng,PG,2022-12-27 03:47:20,-2.5744,150.7967,85.14,65,47,10.98
245,Sharjah,AE,2022-12-27 03:43:20,25.3573,55.4033,64.69,88,75,4.61
246,Kupiskis,LT,2022-12-27 03:47:21,55.8333,24.9667,36.21,99,100,9.71
247,Dolores,AR,2022-12-27 03:47:21,-36.3132,-57.6792,56.1,84,0,6.98
248,Tateyama,JP,2022-12-27 03:47:22,34.9833,139.8667,50.22,42,44,8.84
249,Jaleswar,NP,2022-12-27 03:47:22,26.6471,85.8008,64.67,39,0,7.99
250,Corum,TR,2022-12-27 03:43:17,40.5,34.75,31.66,83,52,2.8
251,Iracoubo,GF,2022-12-27 03:47:23,5.4802,-53.2011,76.15,87,78,13.18
252,Erzin,TR,2022-12-27 03:47:24,36.9559,36.2,46.83,61,57,2.1
253,Sechura,PE,2022-12-27 03:47:24,-5.5569,-80.8222,70.07,78,70,6.55
254,Kumertau,RU,2022-12-27 03:47:25,52.7667,55.7833,9.72,95,100,5.44
255,Jiaozhou,CN,2022-12-27 03:47:25,36.2839,120.0033,35.56,38,52,6.58
256,Tezu,IN,2022-12-27 03:47:25,27.9167,96.1667,64.9,65,99,2.15
257,Pizhanka,RU,2022-12-27 03:47:26,57.4604,48.542,-11.29,100,100,2.06
258,Chernyshevsk,RU,2022-12-27 03:47:26,52.5243,117.0174,4.71,77,100,2.3
259,Buraydah,SA,2022-12-27 03:47:27,26.326,43.975,48.65,58,51,9.64
260,Kovdor,RU,2022-12-27 03:47:27,67.5662,30.4758,14.54,90,96,7.36
261,Daru,PG,2022-12-27 03:47:28,-9.0763,143.2092,79.75,87,100,7.7
262,Busayra,JO,2022-12-27 03:47:28,30.7376,35.6078,41.22,85,63,10.16
263,Porto Novo,BJ,2022-12-27 03:47:28,6.4965,2.6036,73.08,68,18,3.91
264,Kuching,MY,2022-12-27 03:43:09,1.55,110.3333,87.06,80,40,8.05
265,Waipawa,NZ,2022-12-27 03:47:29,-41.4122,175.5153,61.57,64,29,8.14
266,Evensk,RU,2022-12-27 03:47:30,61.95,159.2333,11.59,65,98,12.73
267,Guarapari,BR,2022-12-27 03:47:30,-20.6667,-40.4975,74.89,92,100,9.19
268,Aswan,EG,2022-12-27 03:47:30,24.0934,32.907,54.7,58,0,6.91
269,Conceicao Do Araguaia,BR,2022-12-27 03:44:01,-8.2578,-49.2647,71.35,97,100,2.55
270,Warmbad,NA,2022-12-27 03:47:31,-28.45,18.7333,67.87,36,0,4.92
271,Ahuimanu,US,2022-12-27 03:47:31,21.4447,-157.8378,79.74,78,40,8.05
272,Rawah,IQ,2022-12-27 03:47:32,34.4816,41.9093,51.75,69,100,7.96
273,Kloulklubed,PW,2022-12-27 03:47:32,7.0419,134.2556,81.1,92,100,27.94
274,Maningrida,AU,2022-12-27 03:47:33,-12.0667,134.2667,85.6,72,100,6.71
275,Ossora,RU,2022-12-27 03:47:33,59.2353,163.0719,20.95,60,0,11.83
276,Cayce,US,2022-12-27 03:47:34,33.9657,-81.074,28.65,72,0,3.44
277,Nouadhibou,MR,2022-12-27 03:47:34,20.931,-17.0347,62.58,82,64,4.61
278,Avera,US,2022-12-27 03:47:35,33.194,-82.5271,29.37,43,0,5.57
279,Lake Havasu City,US,2022-12-27 03:45:32,34.4839,-114.3224,63.07,39,0,3.44
280,Tamworth,GB,2022-12-27 03:47:35,52.634,-1.6959,36.93,93,33,4.0
281,Banjar,ID,2022-12-27 03:47:36,-8.19,114.9675,82.33,79,79,5.73
282,Drogheda,IE,2022-12-27 03:47:36,53.7189,-6.3478,44.19,87,98,8.97
283,Torbay,CA,2022-12-27 03:47:36,47.6666,-52.7314,31.57,84,100,19.57
284,San Buenaventura,MX,2022-12-27 03:47:37,27.0833,-101.5333,56.48,35,0,4.43
285,Pisco,PE,2022-12-27 03:47:38,-13.7,-76.2167,69.85,88,0,10.36
286,Dudinka,RU,2022-12-27 03:47:38,69.4058,86.1778,9.63,96,100,11.61
287,Port Blair,IN,2022-12-27 03:47:39,11.6667,92.75,82.44,61,75,5.75
288,Gornyy,RU,2022-12-27 03:47:39,55.1153,83.9059,3.79,93,97,8.16
289,Ostrovnoy,RU,2022-12-27 03:47:39,68.0531,39.5131,21.34,84,99,25.55
290,Buta,CD,2022-12-27 03:47:40,2.7858,24.73,65.01,65,96,1.97
291,Cabo San Lucas,MX,2022-12-27 03:47:40,22.8909,-109.9124,70.52,71,0,3.67
292,Sao Filipe,CV,2022-12-27 03:47:41,14.8961,-24.4956,70.7,64,85,10.96
293,Alta Floresta,BR,2022-12-27 03:47:41,-9.8756,-56.0861,70.97,98,99,3.4
