City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Yelizavetino,RU,59.4916,29.7938,32.56,91,99,9.06,overcast clouds
175,Alta Floresta,BR,-9.8756,-56.0861,69.71,97,99,2.93,overcast clouds
176,Gilgit,PK,35.9221,74.3087,34.72,34,0,2.73,clear sky
177,Esperance,AU,-33.8667,121.9,65.19,52,5,12.37,clear sky
178,Yar-Sale,RU,66.8333,70.8333,-15.75,100,16,5.93,few clouds
179,Concepcion,CL,-36.827,-73.0498,53.4,82,0,9.22,clear sky
180,Norman Wells,CA,65.282,-126.8329,-12.96,70,75,2.3,broken clouds
181,Bredasdorp,ZA,-34.5322,20.0403,69.35,69,60,5.91,broken clouds
182,Zalantun,CN,48.0,122.7167,8.19,64,86,11.83,overcast clouds
183,Byron Bay,AU,-28.65,153.6167,77.94,65,27,9.37,scattered clouds
184,Ancud,CL,-41.8697,-73.8203,45.41,82,4,6.51,clear sky
185,Tunceli,TR,39.1083,39.5471,38.5,59,75,0.89,broken clouds
186,Lebu,CL,-37.6167,-73.65,53.46,83,4,17.98,clear sky
187,Torbay,CA,47.6666,-52.7314,36.57,91,100,23.02,light shower snow
188,Chongwe,ZM,-15.3292,28.682,71.78,72,86,10.85,overcast clouds
189,San Pedro De Lloc,PE,-7.4328,-79.5058,67.93,78,56,7.07,broken clouds
190,Adeje,ES,28.1227,-16.726,67.57,66,40,21.85,scattered clouds
191,Fauske,NO,67.2588,15.3918,35.64,96,100,17.45,snow
192,Half Moon Bay,US,37.4636,-122.4286,52.25,93,100,5.75,mist
193,Miami,US,25.7743,-80.1937,60.82,85,40,4.61,scattered clouds
194,New Norfolk,AU,-42.7826,147.0587,66.7,54,56,12.35,broken clouds
195,Omboue,GA,-1.5746,9.2618,76.91,88,19,1.81,light rain
196,Ndola,ZM,-12.9587,28.6366,67.89,80,96,7.02,overcast clouds
197,Mahebourg,MU,-20.4081,57.7,83.25,65,40,12.66,scattered clouds
198,Talcahuano,CL,-36.7167,-73.1167,53.28,82,0,9.22,clear sky
199,Machali,CL,-34.1833,-70.6667,61.56,55,0,1.39,clear sky
200,Russell,US,32.3502,-85.1999,34.02,93,0,0.0,clear sky
201,Camana,PE,-16.6228,-72.7111,70.84,87,95,8.3,overcast clouds
202,Banda Aceh,ID,5.5577,95.3222,83.28,70,100,5.79,overcast clouds
203,Tshikapa,CD,-6.4167,20.8,71.01,98,100,0.98,overcast clouds
204,Orkney,ZA,-26.9802,26.6727,75.81,54,88,11.23,overcast clouds
205,Mazyr,BY,52.0495,29.2456,31.78,91,97,12.68,overcast clouds
206,Hithadhoo,MV,-0.6,73.0833,81.16,73,65,12.39,broken clouds
207,Watrous,CA,51.6668,-105.4679,10.18,85,100,16.11,snow
208,Rodrigues Alves,BR,-7.738,-72.6509,73.6,82,99,3.15,overcast clouds
209,Cuyamel,HN,15.6667,-88.2,69.96,82,94,4.99,overcast clouds
210,Nishihara,JP,26.1842,127.7558,69.85,60,40,17.27,scattered clouds
211,Dalnerechensk,RU,45.9339,133.7225,10.94,93,98,9.35,overcast clouds
212,Kalmunai,LK,7.4167,81.8167,81.59,76,11,10.67,few clouds
213,Tocopilla,CL,-22.092,-70.1979,68.83,75,5,4.56,clear sky
214,Westport,US,41.1415,-73.3579,34.32,67,100,3.44,overcast clouds
